latitude,longitude
37.5652432,127.0133851
37.5521483,127.0123832
37.5650079,127.0163825
37.5588159,127.0048761
37.5608522,126.9915765
37.5661811,126.9928486
37.5705017,126.9889217
37.5689572,126.98815
37.6000351,126.9584514
37.6047609,126.9654294
37.5814059,126.9811324
37.5767704999999,126.9740008
37.5841381,126.9705976
37.5814725,126.9694271
37.5722606,126.9611435
37.5689364,126.9764239
37.570751,126.9722054
37.5759361,126.967264
37.5725619,126.978997
37.5680342,126.9800551
37.5562987,126.9718126
37.5635808,126.983966
37.5594216,126.9762398
37.5578847,126.9671311
37.5578126,126.9790112
37.5638544,126.975449
37.5698922,126.9611209
37.5585748,126.9429921
37.5952417,126.946418
37.5703278,126.9329029
37.5760219,126.9240678
37.5829850999999,126.9128737
37.5881612,126.9445399
37.5836756,126.9361657
37.5861068,127.0014054
37.5785962,127.0060393
37.5892963999999,126.9976135
37.5784788,127.0136459
37.5726524,127.0170718
37.5759995,127.010524
37.5707326,127.0016342
37.5729461,127.0048693
37.5386609,126.9655062
37.5491203,126.9784422
37.5342949,126.9944044
37.5310164,127.0062836
37.5268368,127.0001932
37.5361157,126.9747139
37.5242741,126.9706849
37.5972819,127.0123966
37.5866821,127.0166001
37.6106292,127.0192457
37.6160838,127.0086109
37.6045307,127.0106875
37.5932791,126.9985215
37.5712809,127.0511477
37.5728426,127.0372307
37.5840966,127.0452633
37.5855849,127.0420335
37.5761361,127.0479386
37.5863258,127.0542318
37.5694324,127.064899
37.5767834,127.0743654
37.5964917,127.0681261
37.5846694,127.0680102
37.5910751,127.0518528
37.5473378,126.9291956
37.5517993,126.9540594
37.5687535,126.9090424
37.5518627,126.9134473
37.5425671,126.9430791
37.5782477,126.8938555
37.5543305,126.9027303
37.5603349,126.9237597
37.5180146,126.9075396
37.529594,126.92667
37.5135703,126.8976399
37.4979795,126.9111478
37.5134366,126.9141985
37.5227185,126.8897017
37.5336195,126.901288
37.4934202,126.8987265
37.4983297,126.8980767
37.5134011,126.9014584
37.5603055,127.041766
37.5481496,127.0551847
37.5380443,127.0522756
37.5666533,127.0326493
37.5574251,127.0288558
37.5449597,127.0138463
37.5547323,127.0196132
37.549767,127.0300234
37.5647586,127.0517402
37.4804874,126.9797723
37.5111541,126.9332824
37.5064892,126.9358441
37.484119,126.9732502
37.5123933,126.953643
37.4866619,126.9059134
37.498567,126.9206022
37.5444558,127.1033877
37.5465667,127.0713499
37.563723,127.0827863
37.5602505,127.0814843
37.5688192,127.0801404
37.5653353,127.087218
37.5338683,127.0716102
37.5366309,127.076921
37.5351513,127.0636287
37.5458868,127.0916497
37.6015836,126.9264643
37.5918104,126.9053669
37.6081391,126.9323304
37.5905279,126.9175364
37.6044279,126.9151883
37.6201611,127.0282954
37.6163126,127.0303989
37.6306502,127.0175895
37.6409113,127.0171016
37.6443456,127.026571
37.6394394,127.0123991
37.63599,127.0326008
37.6236112,127.0481447
37.6248025,127.0181839
37.4542242,126.8998381
37.4695308,126.9034406
37.4509431,126.9125325
37.479919,126.8880499
37.4646641,126.8948276
37.5990933,127.0956749
37.5979964,127.0722033
37.5799415,127.0810446
37.614796,127.0955609
37.5882137,127.0939012
37.5831943,127.0841512
37.591339,127.0728207
37.6146259,127.0815386
37.5083524,127.0409897
37.5138791,127.0293066
37.5152074,127.0338473
